label,size,kernel,variant,med_ns_per_cell,min_ns_per_cell
cand_r1,49x33x33,rk_stage,irs,21.63836669921875,21.019877115885418
cand_r1,49x33x33,rk_stage,noirs,19.36907958984375,18.30499267578125
cand_r1,24x16x16,smooth_l1,untiled,22.985188802083332,21.056966145833332
cand_r1,24x16x16,smooth_l1,tiled,18.306803385416668,17.574055989583332
cand_r1,12x8x8,smooth_l2,untiled,23.399739583333332,22.658854166666668
cand_r1,12x8x8,smooth_l2,tiled,21.99609375,21.307291666666668
cand_r1,6x4x4,smooth_l3,untiled,46.208333333333336,44.833333333333336
cand_r1,6x4x4,smooth_l3,tiled,53.75,52.427083333333336
cand_r1,65x49x49,rk_stage,irs,21.933237711588543,20.13534884982639
cand_r1,65x49x49,rk_stage,noirs,19.62903510199653,17.727342393663193
cand_r1,32x24x24,smooth_l1,untiled,27.01681857638889,24.93023003472222
cand_r1,32x24x24,smooth_l1,tiled,19.82375759548611,18.12109375
cand_r1,16x12x12,smooth_l2,untiled,23.373697916666668,19.96831597222222
cand_r1,16x12x12,smooth_l2,tiled,22.518229166666668,19.96440972222222
cand_r1,8x6x6,smooth_l3,untiled,27.493055555555557,26.70138888888889
cand_r1,8x6x6,smooth_l3,tiled,34.09375,33.638888888888886
cand_r1,81x65x65,rk_stage,irs,27.85469207763672,25.9142578125
cand_r1,81x65x65,rk_stage,noirs,25.844784545898438,23.390176391601564
cand_r1,40x32x32,smooth_l1,untiled,30.0787109375,28.84033203125
cand_r1,40x32x32,smooth_l1,tiled,22.769091796875,21.33994140625
cand_r1,20x16x16,smooth_l2,untiled,20.2501953125,19.1982421875
cand_r1,20x16x16,smooth_l2,tiled,17.3740234375,16.658203125
cand_r1,10x8x8,smooth_l3,untiled,26.3046875,25.7890625
cand_r1,10x8x8,smooth_l3,tiled,25.6984375,25.4140625
cand_r1,97x97x97,rk_stage,irs,35.10891554090712,33.5886546947338
cand_r1,97x97x97,rk_stage,noirs,33.130029183846936,31.54475459346065
cand_r1,48x48x48,smooth_l1,untiled,30.065199110243057,28.42233615451389
cand_r1,48x48x48,smooth_l1,tiled,23.03275101273148,21.26368091724537
